Target,TAS,Rank,CumProb,AUC,n_binding,p.value
ROCK2,2 (100-999 nM),70,0.875,0.6439873417721519,30,0.17239010461678192
ROCK2,2 (100-999 nM),75,1,0.6439873417721519,30,0.17239010461678192
ROCK2,2 (100-999 nM),80,1,0.6439873417721519,30,0.17239010461678192
ROCK2,3 (1-10 uM),1,0,0.5077355836849508,30,0.17239010461678192
ROCK2,3 (1-10 uM),5,0.05555555555555555,0.5077355836849508,30,0.17239010461678192
ROCK2,3 (1-10 uM),10,0.1111111111111111,0.5077355836849508,30,0.17239010461678192
ROCK2,3 (1-10 uM),12,0.16666666666666666,0.5077355836849508,30,0.17239010461678192
ROCK2,3 (1-10 uM),20,0.2222222222222222,0.5077355836849508,30,0.17239010461678192
ROCK2,3 (1-10 uM),24,0.2777777777777778,0.5077355836849508,30,0.17239010461678192
ROCK2,3 (1-10 uM),33,0.3333333333333333,0.5077355836849508,30,0.17239010461678192
ROCK2,3 (1-10 uM),41,0.3888888888888889,0.5077355836849508,30,0.17239010461678192
ROCK2,3 (1-10 uM),47,0.4444444444444444,0.5077355836849508,30,0.17239010461678192
ROCK2,3 (1-10 uM),49,0.5,0.5077355836849508,30,0.17239010461678192
ROCK2,3 (1-10 uM),53,0.5555555555555556,0.5077355836849508,30,0.17239010461678192
ROCK2,3 (1-10 uM),54,0.6111111111111112,0.5077355836849508,30,0.17239010461678192
ROCK2,3 (1-10 uM),55,0.6666666666666666,0.5077355836849508,30,0.17239010461678192
ROCK2,3 (1-10 uM),56,0.7222222222222222,0.5077355836849508,30,0.17239010461678192
ROCK2,3 (1-10 uM),57,0.7777777777777778,0.5077355836849508,30,0.17239010461678192
ROCK2,3 (1-10 uM),63,0.8333333333333334,0.5077355836849508,30,0.17239010461678192
ROCK2,3 (1-10 uM),67,0.8888888888888888,0.5077355836849508,30,0.17239010461678192
ROCK2,3 (1-10 uM),71,0.9444444444444444,0.5077355836849508,30,0.17239010461678192
ROCK2,3 (1-10 uM),76,1,0.5077355836849508,30,0.17239010461678192
ROCK2,3 (1-10 uM),80,1,0.5077355836849508,30,0.17239010461678192
ROCK2,10 (>10 uM),1,0,0.5411392405063291,30,0.17239010461678192
ROCK2,10 (>10 uM),3,0.0625,0.5411392405063291,30,0.17239010461678192
ROCK2,10 (>10 uM),9,0.125,0.5411392405063291,30,0.17239010461678192
ROCK2,10 (>10 uM),11,0.1875,0.5411392405063291,30,0.17239010461678192
ROCK2,10 (>10 uM),18,0.25,0.5411392405063291,30,0.17239010461678192
ROCK2,10 (>10 uM),23,0.3125,0.5411392405063291,30,0.17239010461678192
ROCK2,10 (>10 uM),38,0.375,0.5411392405063291,30,0.17239010461678192
ROCK2,10 (>10 uM),44,0.4375,0.5411392405063291,30,0.17239010461678192
ROCK2,10 (>10 uM),45,0.5,0.5411392405063291,30,0.17239010461678192
ROCK2,10 (>10 uM),46,0.5625,0.5411392405063291,30,0.17239010461678192
ROCK2,10 (>10 uM),51,0.625,0.5411392405063291,30,0.17239010461678192
ROCK2,10 (>10 uM),52,0.6875,0.5411392405063291,30,0.17239010461678192
ROCK2,10 (>10 uM),60,0.75,0.5411392405063291,30,0.17239010461678192
ROCK2,10 (>10 uM),61,0.8125,0.5411392405063291,30,0.17239010461678192
ROCK2,10 (>10 uM),65,0.875,0.5411392405063291,30,0.17239010461678192
ROCK2,10 (>10 uM),69,0.9375,0.5411392405063291,30,0.17239010461678192
ROCK2,10 (>10 uM),72,1,0.5411392405063291,30,0.17239010461678192
ROCK2,10 (>10 uM),80,1,0.5411392405063291,30,0.17239010461678192
ROS1,1 (<100 nM),1,0.25,0.6962025316455696,23,0.45144247043485497
ROS1,1 (<100 nM),41,0.5,0.6962025316455696,23,0.45144247043485497
ROS1,1 (<100 nM),57,0.75,0.6962025316455696,23,0.45144247043485497
ROS1,1 (<100 nM),77,1,0.6962025316455696,23,0.45144247043485497
ROS1,1 (<100 nM),80,1,0.6962025316455696,23,0.45144247043485497
ROS1,2 (100-999 nM),1,0,0.7721518987341772,23,0.45144247043485497
ROS1,2 (100-999 nM),2,0.2,0.7721518987341772,23,0.45144247043485497
ROS1,2 (100-999 nM),10,0.4,0.7721518987341772,23,0.45144247043485497
ROS1,2 (100-999 nM),19,0.6,0.7721518987341772,23,0.45144247043485497
ROS1,2 (100-999 nM),63,0.8,0.7721518987341772,23,0.45144247043485497
ROS1,2 (100-999 nM),72,1,0.7721518987341772,23,0.45144247043485497
ROS1,2 (100-999 nM),80,1,0.7721518987341772,23,0.45144247043485497
ROS1,3 (1-10 uM),1,0,0.5488245931283906,23,0.45144247043485497
ROS1,3 (1-10 uM),5,0.07142857142857142,0.5488245931283906,23,0.45144247043485497
ROS1,3 (1-10 uM),12,0.14285714285714285,0.5488245931283906,23,0.45144247043485497
ROS1,3 (1-10 uM),13,0.21428571428571427,0.5488245931283906,23,0.45144247043485497
ROS1,3 (1-10 uM),23,0.2857142857142857,0.5488245931283906,23,0.45144247043485497
ROS1,3 (1-10 uM),24,0.35714285714285715,0.5488245931283906,23,0.45144247043485497
ROS1,3 (1-10 uM),33,0.42857142857142855,0.5488245931283906,23,0.45144247043485497
ROS1,3 (1-10 uM),49,0.5,0.5488245931283906,23,0.45144247043485497
ROS1,3 (1-10 uM),53,0.5714285714285714,0.5488245931283906,23,0.45144247043485497
ROS1,3 (1-10 uM),54,0.6428571428571429,0.5488245931283906,23,0.45144247043485497
ROS1,3 (1-10 uM),55,0.7142857142857143,0.5488245931283906,23,0.45144247043485497
ROS1,3 (1-10 uM),56,0.7857142857142857,0.5488245931283906,23,0.45144247043485497
ROS1,3 (1-10 uM),67,0.8571428571428571,0.5488245931283906,23,0.45144247043485497
ROS1,3 (1-10 uM),68,0.9285714285714286,0.5488245931283906,23,0.45144247043485497
ROS1,3 (1-10 uM),71,1,0.5488245931283906,23,0.45144247043485497
ROS1,3 (1-10 uM),80,1,0.5488245931283906,23,0.45144247043485497
ROS1,10 (>10 uM),1,0,0.5316455696202531,23,0.45144247043485497
ROS1,10 (>10 uM),3,0.043478260869565216,0.5316455696202531,23,0.45144247043485497
ROS1,10 (>10 uM),7,0.08695652173913043,0.5316455696202531,23,0.45144247043485497
ROS1,10 (>10 uM),9,0.13043478260869565,0.5316455696202531,23,0.45144247043485497
ROS1,10 (>10 uM),11,0.17391304347826086,0.5316455696202531,23,0.45144247043485497
ROS1,10 (>10 uM),14,0.21739130434782608,0.5316455696202531,23,0.45144247043485497
ROS1,10 (>10 uM),17,0.2608695652173913,0.5316455696202531,23,0.45144247043485497
ROS1,10 (>10 uM),25,0.30434782608695654,0.5316455696202531,23,0.45144247043485497
ROS1,10 (>10 uM),29,0.34782608695652173,0.5316455696202531,23,0.45144247043485497
ROS1,10 (>10 uM),38,0.391304347826087,0.5316455696202531,23,0.45144247043485497
ROS1,10 (>10 uM),40,0.43478260869565216,0.5316455696202531,23,0.45144247043485497
ROS1,10 (>10 uM),44,0.4782608695652174,0.5316455696202531,23,0.45144247043485497
ROS1,10 (>10 uM),45,0.5217391304347826,0.5316455696202531,23,0.45144247043485497
ROS1,10 (>10 uM),46,0.5652173913043478,0.5316455696202531,23,0.45144247043485497
ROS1,10 (>10 uM),51,0.6086956521739131,0.5316455696202531,23,0.45144247043485497
ROS1,10 (>10 uM),52,0.6521739130434783,0.5316455696202531,23,0.45144247043485497
ROS1,10 (>10 uM),58,0.6956521739130435,0.5316455696202531,23,0.45144247043485497
ROS1,10 (>10 uM),59,0.7391304347826086,0.5316455696202531,23,0.45144247043485497
ROS1,10 (>10 uM),60,0.782608695652174,0.5316455696202531,23,0.45144247043485497
ROS1,10 (>10 uM),61,0.8260869565217391,0.5316455696202531,23,0.45144247043485497
ROS1,10 (>10 uM),65,0.8695652173913043,0.5316455696202531,23,0.45144247043485497
ROS1,10 (>10 uM),69,0.9130434782608695,0.5316455696202531,23,0.45144247043485497
ROS1,10 (>10 uM),70,0.9565217391304348,0.5316455696202531,23,0.45144247043485497
ROS1,10 (>10 uM),75,1,0.5316455696202531,23,0.45144247043485497
ROS1,10 (>10 uM),80,1,0.5316455696202531,23,0.45144247043485497
RPS6KA3,1 (<100 nM),1,0.16666666666666666,0.810126582278481,36,0.03293015631451196
RPS6KA3,1 (<100 nM),2,0.3333333333333333,0.810126582278481,36,0.03293015631451196
RPS6KA3,1 (<100 nM),23,0.5,0.810126582278481,36,0.03293015631451196
RPS6KA3,1 (<100 nM),31,0.6666666666666666,0.810126582278481,36,0.03293015631451196
RPS6KA3,1 (<100 nM),38,0.8333333333333334,0.810126582278481,36,0.03293015631451196
RPS6KA3,1 (<100 nM),48,1,0.810126582278481,36,0.03293015631451196
